date,daa
2024-02-07,273.0
2024-02-27,380.0
2024-01-28,283.0
2024-02-04,267.0
2024-02-28,494.0
2024-02-29,452.0
2024-05-07,1092.0
2024-05-08,206.0
2024-03-12,500.0
2024-03-01,442.0
2024-03-02,445.0
2024-03-03,501.0
2024-03-04,565.0
2024-03-05,650.0
2024-03-06,468.0
2024-03-07,458.0
2024-03-08,466.0
2024-03-09,404.0
2024-03-10,478.0
2024-03-11,684.0
2024-03-20,373.0
2024-03-13,413.0
2024-03-14,856.0
2024-03-15,650.0
2024-03-16,475.0
2024-03-17,446.0
2024-03-18,370.0
2024-03-19,414.0
2023-10-16,477.0
2023-10-15,354.0
2023-10-14,313.0
2024-07-21,136.0
2024-01-30,312.0
2024-01-23,309.0
2024-01-21,457.0
2024-01-20,333.0
2024-01-19,374.0
2024-01-18,321.0
2024-01-17,288.0
2024-01-16,316.0
2024-01-15,358.0
2024-01-14,304.0
2024-01-13,465.0
2024-01-12,547.0
2024-01-11,466.0
2024-01-10,383.0
2024-01-09,358.0
2024-01-08,406.0
2024-01-07,401.0
2024-01-06,576.0
2024-01-05,363.0
2024-01-04,344.0
2024-01-03,679.0
2024-01-02,406.0
2024-01-01,358.0
2023-12-31,448.0
2023-12-30,483.0
2023-12-29,431.0
2023-12-28,531.0
2023-12-27,515.0
2023-12-26,477.0
2023-12-25,1041.0
2023-12-24,901.0
2023-12-23,467.0
2023-12-22,477.0
2023-12-21,365.0
2023-12-20,336.0
2023-12-19,312.0
2023-12-18,470.0
2023-12-17,576.0
2023-12-16,265.0
2023-12-15,331.0
2023-12-14,410.0
2023-12-13,403.0
2023-12-12,419.0
2023-12-11,478.0
2023-12-10,359.0
2023-12-09,518.0
2023-12-08,466.0
2023-12-07,435.0
2023-12-06,436.0
2023-12-05,491.0
2023-12-04,427.0
2023-12-03,429.0
2023-12-02,404.0
2023-12-01,437.0
2023-11-30,501.0
2023-11-29,1020.0
2023-11-28,386.0
2023-11-27,403.0
2023-11-26,436.0
2023-11-25,348.0
2023-11-24,398.0
2023-11-23,390.0
2023-11-22,343.0
2023-11-21,389.0
2023-11-20,421.0
2023-11-19,501.0
2023-11-18,367.0
2023-11-17,413.0
2023-11-16,511.0
2023-11-15,475.0
2023-11-14,522.0
2023-11-13,482.0
2023-11-12,547.0
2023-11-11,465.0
2023-11-10,604.0
2023-11-09,541.0
2023-11-08,427.0
2023-11-07,413.0
2023-11-06,530.0
2024-07-02,344.0
2023-11-05,537.0
2023-11-04,437.0
2023-11-03,488.0
2023-11-02,500.0
2023-11-01,1560.0
2023-10-31,1047.0
2023-10-30,844.0
2023-10-29,573.0
2023-10-28,482.0
2023-10-27,498.0
2023-10-26,582.0
2023-10-25,624.0
2023-10-24,667.0
2023-10-23,478.0
2023-10-22,337.0
2023-10-21,383.0
2023-10-20,432.0
2023-10-19,369.0
2023-10-18,414.0
2023-10-17,386.0
2023-10-13,523.0
2023-10-12,404.0
2023-10-11,390.0
2023-10-10,359.0
2023-10-09,438.0
2023-10-08,349.0
2023-10-07,369.0
2023-10-06,391.0
2023-10-05,413.0
2023-10-04,425.0
2023-10-03,488.0
2023-10-02,479.0
2023-10-01,512.0
2023-09-30,527.0
2023-09-29,522.0
2023-09-28,513.0
2023-09-27,506.0
2023-09-26,438.0
2023-09-25,527.0
2023-09-24,486.0
2023-09-23,554.0
2023-09-22,678.0
2023-09-21,874.0
2023-09-20,335.0
2023-09-19,468.0
2023-09-18,347.0
2023-09-17,346.0
2023-09-16,335.0
2023-09-15,436.0
2023-09-14,292.0
2023-09-13,340.0
2023-09-12,292.0
2023-09-11,420.0
2023-09-10,316.0
2023-09-09,402.0
2023-09-08,354.0
2023-09-07,400.0
2023-09-06,376.0
2023-09-05,353.0
2023-09-04,393.0
2023-09-03,453.0
2023-09-02,478.0
2023-09-01,489.0
2023-08-31,472.0
2023-08-30,424.0
2023-08-29,444.0
2023-08-28,514.0
2023-08-27,483.0
2023-08-26,602.0
2023-08-25,491.0
2023-08-24,471.0
2023-08-23,520.0
